Care_Category,Care_Category_Specific,Care_Category_Speciality,Name,Unit,F_Address,Postal_Code,LATITUDE,LONGITUDE
Child_Centric,Daycare_Centre,NA,Ancaster Little Gems Children's Centre,NA,"339 Wilson Street,Hamilton,ON",L9G 2C1,43.22697434,-79.9769224
Child_Centric,Daycare_Centre,NA,KIDS & COMPANY HAMILTON,NA,"701 Main Street,Hamilton,ON",L8S 1A1,43.26000034,-79.8980744
Child_Centric,Daycare_Centre,NA,Kindertown Child Care Centre,NA,"110 Gordon Drummond Avenue,Hamilton,ON",L8J 1P5,43.1895877,-79.7982353
Child_Centric,Daycare_Centre,NA,Dundas Daycare,NA,"252 Governors Road,Hamilton,ON",L9H 3K3,43.25998508,-79.96937153
Child_Centric,Daycare_Centre,NA,Scenicview Childcare,NA,"1194 Scenic Drive,Hamilton,ON",L9K 1J6,43.2455196,-79.9309131
Child_Centric,Daycare_Centre,NA,LITERACY AND MATHEMATICS ACADEMY,NA,"1 King Street,Hamilton,ON",L8G 1G7,43.2564542,-79.8694356
Child_Centric,Daycare_Centre,NA,Le Ballon Rouge,NA,"135 Bendamere Avenue (French),Hamilton,ON",L9C 1N4,43.23414069,-79.89190266
Child_Centric,Daycare_Centre,NA,La Garderie le Petit Navire,NA,"400 Cumberland Avenue (French),Hamilton,ON",L8M 2A2,43.24196473,-79.83622887
Child_Centric,Daycare_Centre,NA,Little Mountaineers Co-operative Preschool Corporation,NA,"835 Stonechurch Road,Hamilton,ON",L8W 1R8,43.20250812,-79.8523557
Child_Centric,Daycare_Centre,NA,Little Peoples Day Care Centre,NA,"510 Mohawk Road,Hamilton,ON",L9C 1X4,43.2291208,-79.9648564
Child_Centric,Daycare_Centre,NA,Lucky Day Nursery,NA,"120 Crosthwaite Avenue,Hamilton,ON",L8H 4V5,43.2437717,-79.8073214
Child_Centric,Daycare_Centre,NA,Lyonsgate Montessori School,NA,"375 Aberdeen Avenue,Hamilton,ON",L8P 2R7,43.2502559,-79.8901093
Child_Centric,Daycare_Centre,NA,Imagineer's Early Learning Centre,NA,"430 West 5th Street,Hamilton,ON",L9C 3P6,43.2311556,-79.88625532
Child_Centric,Daycare_Centre,NA,McMaster Children's Centre,NA,"1280 Main Street,Hamilton,ON",L8S 4K1,43.2636011,-79.9173761
